Date,# OF CONSUMERS,,,,,,,,,,,,,,,,
2012-1,100,,,,,,,,,,,,,,,,
2012-2,100,,,,,,,,,,,,,,,,
2012-3,101,,,,,,,,,,,,,,,,
2012-4,101,,,,,,,,,,,,,,,,
2012-5,101,,,,,,,,,,,,,,,,
2012-6,101,,,,,,,,,,,,,,,,
2012-7,101,,,,,,,,,,,,,,,,
2012-8,102,,,,,,,,,,,,,,,,
2012-9,102,,,,,,,,,,,,,,,,
2012-10,104,,,,,,,,,,,,,,,,
2012-11,104,,,,,,,,,,,,,,,,
2012-12,104,,,,,,,,,,,,,,,,
2013-1,105,,,,,,,,,,,,,,,,
2013-2,104,,,,,,,,,,,,,,,,
2013-3,104,,,,,,,,,,,,,,,,
2013-4,103,,,,,,,,,,,,,,,,
2013-5,103,,,,,,,,,,,,,,,,
2013-6,103,,,,,,,,,,,,,,,,
2013-7,103,,,,,,,,,,,,,,,,
2013-8,104,,,,,,,,,,,,,,,,
2013-9,101,,,,,,,,,,,,,,,,
2013-10,102,,,,,,,,,,,,,,,,
2013-11,102,,,,,,,,,,,,,,,,
2013-12,101,,,,,,,,,,,,,,,,
2014-1,103,,,,,,,,,,,,,,,,
2014-2,103,,,,,,,,,,,,,,,,
2014-3,104,,,,,,,,,,,,,,,,
2014-4,103,,,,,,,,,,,,,,,,
2014-5,103,,,,,,,,,,,,,,,,
2014-6,103,,,,,,,,,,,,,,,,
2014-7,103,,,,,,,,,,,,,,,,
2014-8,104,,,,,,,,,,,,,,,,
2014-9,104,,,,,,,,,,,,,,,,
2014-10,104,,,,,,,,,,,,,,,,
2014-11,104,,,,,,,,,,,,,,,,
2014-12,101,,,,,,,,,,,,,,,,
2015-1,101,,,,,,,,,,,,,,,,
2015-2,101,,,,,,,,,,,,,,,,
2015-3,102,,,,,,,,,,,,,,,,
2015-4,102,,,,,,,,,,,,,,,,
2015-5,103,,,,,,,,,,,,,,,,
2015-6,103,,,,,,,,,,,,,,,,
2015-7,105,,,,,,,,,,,,,,,,
2015-8,106,,,,,,,,,,,,,,,,
2015-9,107,,,,,,,,,,,,,,,,
2015-10,107,,,,,,,,,,,,,,,,
2015-11,106,,,,,,,,,,,,,,,,
2015-12,106,,,,,,,,,,,,,,,,
2016-1,107,,,,,,,,,,,,,,,,
2016-2,107,,,,,,,,,,,,,,,,
2016-3,107,,,,,,,,,,,,,,,,
2016-4,107,,,,,,,,,,,,,,,,
2016-5,107,,,,,,,,,,,,,,,,
2016-6,106,,,,,,,,,,,,,,,,
2016-7,106,,,,,,,,,,,,,,,,
2016-8,106,,,,,,,,,,,,,,,,
2016-9,108,,,,,,,,,,,,,,,,
2016-10,106,,,,,,,,,,,,,,,,
2016-11,105,,,,,,,,,,,,,,,,
2016-12,105,,,,,,,,,,,,,,,,
2017-1,106,,,,,,,,,,,,,,,,
2017-2,106,,,,,,,,,,,,,,,,