Date,KWH
2006-1,13434000
2006-2,12728000
2006-3,14590800
2006-4,11821600
2006-5,11186800
2006-6,9763700
2006-7,12107400
2006-8,14069800
2006-9,11754200
2006-10,12580200
2006-11,11576200
2006-12,11062200
2007-1,13885200
2007-2,12320000
2007-3,14169800
2007-4,13080200
2007-5,12278600
2007-6,10308400
2007-7,11773800
2007-8,14050000
2007-9,11500400
2007-10,13376100
2007-11,11382200
2007-12,12075600
2008-1,13261800
2008-2,12882200
2008-3,13594800
2008-4,12771600
2008-5,11017400
2008-6,10273400
2008-7,11919800
2008-8,12165400
2008-9,12924000
2008-10,12478000
2008-11,10913800
2008-12,12604000
2009-1,12858837
2009-2,11716953
2009-3,14020020
2009-4,11820600
2009-5,10479800
2009-6,11259400
2009-7,11560971
2009-8,13678352
2009-9,11497858
2009-10,11807082
2009-11,11661661
2009-12,11659150
2010-1,12822193
2010-2,12394058
2010-3,15045492
2010-4,12847027
2010-5,10811596
2010-6,11754961
2010-7,11089398
2010-8,13237521
2010-9,12897358
2010-10,12116363
2010-11,12110122
2010-12,11709038
2011-1,14655434
2011-2,13065039
2011-3,13801787
2011-4,12695275
2011-5,10509338
2011-6,11875452
2011-7,10873347
2011-8,13482815
2011-9,13667812
2011-10,13476319
2011-11,12157985
2011-12,11158634
2012-1,11852832.6
2012-2,16141068.26
2012-3,14374350.04
2012-4,13010252.19
2012-5,12244894.39
2012-6,11874824.5
2012-7,10660908.64
2012-8,13461609.54
2012-9,12491327.7
2012-10,14659228.23
2012-11,13203322.33
2012-12,11458667.08